"replicate","n_permutations","global_p_value","global_reject","n_selected","elapsed_seconds"
97,999,0.001,TRUE,0,0.01400000000001
97,4999,6e-04,TRUE,0,0.0250000000000057
98,99,0.01,TRUE,2,0.0109999999999957
98,199,0.005,TRUE,2,0.0109999999999957
98,999,0.001,TRUE,2,0.01400000000001
98,4999,2e-04,TRUE,2,0.0260000000000105
99,99,0.01,TRUE,1,0.0120000000000005
99,199,0.005,TRUE,1,0.0120000000000005
99,999,0.001,TRUE,1,0.0149999999999864
99,4999,2e-04,TRUE,1,0.0269999999999868
100,99,0.01,TRUE,0,0.0109999999999957
100,199,0.005,TRUE,0,0.0109999999999957
100,999,0.002,TRUE,0,0.01400000000001
100,4999,2e-04,TRUE,0,0.0260000000000105
101,99,0.01,TRUE,2,0.0120000000000005
101,199,0.005,TRUE,2,0.0109999999999957
101,999,0.001,TRUE,2,0.01400000000001
101,4999,2e-04,TRUE,2,0.0249999999999773
102,99,0.01,TRUE,1,0.0120000000000005
102,199,0.005,TRUE,1,0.0120000000000005
102,999,0.001,TRUE,1,0.01400000000001
102,4999,6e-04,TRUE,1,0.0270000000000152
103,99,0.01,TRUE,2,0.0120000000000005
103,199,0.005,TRUE,2,0.0120000000000005
103,999,0.001,TRUE,2,0.01400000000001
103,4999,2e-04,TRUE,2,0.025999999999982
104,99,0.01,TRUE,3,0.0109999999999957
104,199,0.005,TRUE,3,0.0110000000000241
104,999,0.001,TRUE,3,0.01400000000001
104,4999,2e-04,TRUE,3,0.0260000000000105
105,99,0.01,TRUE,1,0.0120000000000005
105,199,0.005,TRUE,1,0.0130000000000052
105,999,0.001,TRUE,1,0.01400000000001
105,4999,2e-04,TRUE,1,0.02800000000002
106,99,0.01,TRUE,0,0.0120000000000005
106,199,0.005,TRUE,0,0.0129999999999768
106,999,0.001,TRUE,0,0.0150000000000148
106,4999,2e-04,TRUE,0,0.0270000000000152
107,99,0.01,TRUE,1,0.0120000000000005
107,199,0.005,TRUE,1,0.0129999999999768
107,999,0.002,TRUE,1,0.0150000000000148
107,4999,4e-04,TRUE,1,0.0269999999999868
108,99,0.01,TRUE,2,0.0120000000000005
108,199,0.005,TRUE,2,0.0120000000000005
108,999,0.001,TRUE,2,0.01400000000001
108,4999,2e-04,TRUE,2,0.0270000000000152
109,99,0.01,TRUE,3,0.0120000000000005
109,199,0.005,TRUE,3,0.0129999999999768
109,999,0.001,TRUE,3,0.0149999999999864
109,4999,2e-04,TRUE,3,0.0269999999999868
110,99,0.01,TRUE,2,0.0120000000000005
110,199,0.005,TRUE,2,0.0120000000000005
110,999,0.001,TRUE,2,0.01400000000001
110,4999,2e-04,TRUE,2,0.0270000000000152
111,99,0.01,TRUE,3,0.0120000000000005
111,199,0.005,TRUE,3,0.0130000000000052
111,999,0.001,TRUE,3,0.0139999999999816
111,4999,2e-04,TRUE,3,0.0269999999999868
112,99,0.01,TRUE,1,0.0120000000000005
112,199,0.005,TRUE,1,0.0130000000000052
112,999,0.001,TRUE,1,0.0139999999999816
112,4999,2e-04,TRUE,1,0.025999999999982
113,99,0.01,TRUE,0,0.0109999999999957
113,199,0.005,TRUE,0,0.0120000000000005
113,999,0.001,TRUE,0,0.01400000000001
113,4999,2e-04,TRUE,0,0.02800000000002
114,99,0.01,TRUE,2,0.0120000000000005
114,199,0.005,TRUE,2,0.0139999999999816
114,999,0.001,TRUE,2,0.0149999999999864
114,4999,2e-04,TRUE,2,0.0609999999999786
115,99,0.01,TRUE,1,0.0120000000000005
115,199,0.005,TRUE,1,0.0130000000000052
115,999,0.001,TRUE,1,0.0139999999999816
115,4999,2e-04,TRUE,1,0.0269999999999868
116,99,0.01,TRUE,4,0.0120000000000005
116,199,0.005,TRUE,4,0.0120000000000005
116,999,0.001,TRUE,4,0.01400000000001
116,4999,2e-04,TRUE,4,0.0270000000000152
117,99,0.01,TRUE,1,0.0110000000000241
117,199,0.005,TRUE,1,0.0120000000000005
117,999,0.001,TRUE,1,0.01400000000001
117,4999,2e-04,TRUE,1,0.025999999999982
118,99,0.01,TRUE,1,0.0120000000000005
118,199,0.01,TRUE,1,0.0120000000000005
118,999,0.004,TRUE,1,0.0139999999999816
118,4999,0.0038,TRUE,1,0.0269999999999868
119,99,0.01,TRUE,0,0.0109999999999957
119,199,0.005,TRUE,0,0.0120000000000005
119,999,0.001,TRUE,0,0.01400000000001
119,4999,2e-04,TRUE,0,0.0260000000000105
120,99,0.01,TRUE,0,0.0120000000000005
120,199,0.005,TRUE,0,0.0120000000000005
120,999,0.001,TRUE,0,0.0139999999999816
120,4999,2e-04,TRUE,0,0.0279999999999916
121,99,0.01,TRUE,0,0.0120000000000005
121,199,0.005,TRUE,0,0.0120000000000005
121,999,0.001,TRUE,0,0.0139999999999816
121,4999,2e-04,TRUE,0,0.025999999999982
122,99,0.01,TRUE,2,0.0120000000000005
122,199,0.005,TRUE,2,0.0130000000000052
122,999,0.001,TRUE,2,0.0149999999999864
122,4999,2e-04,TRUE,2,0.0279999999999916
123,99,0.01,TRUE,2,0.0120000000000005
123,199,0.005,TRUE,2,0.0120000000000005
123,999,0.001,TRUE,2,0.0139999999999816
123,4999,2e-04,TRUE,2,0.0269999999999868
124,99,0.01,TRUE,4,0.0120000000000005
124,199,0.005,TRUE,4,0.0120000000000005
124,999,0.001,TRUE,4,0.0149999999999864
124,4999,2e-04,TRUE,4,0.0260000000000105
